environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
grid,1,ANA* with BucketHeap (D=2),19998,599658628,611394517,83820.7,2588944,611394518,15153200000.0,611394518,25083200000.0,827,8809550.0,0,0.0,11624000,604727396,476888000.0,40245100000.0,18
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5757810,8851730,666.564,2588944,8851731,167429000.0,5757810,119817000.0,0,0.0,0,0.0,0,2709678,0.0,287246000.0,19
grid,1,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,597773969,609506856,84823.2,2588944,609506857,16765900000.0,609506857,24602400000.0,826,9694220.0,0,0.0,11621084,602839593,469079000.0,41378100000.0,20
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5757810,8851730,680.116,2588944,8851731,174276000.0,5757810,105895000.0,0,0.0,0,0.0,0,2709678,0.0,280171000.0,21
grid,1,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,376889752,385370461,43288.1,2588944,385370462,8610210000.0,385370462,8406380000.0,611,5280000.0,0,0.0,8366909,378940017,182514000.0,17021900000.0,22
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5757810,8851730,651.038,2588944,8851731,168288000.0,5757810,101645000.0,0,0.0,0,0.0,0,2709678,0.0,269933000.0,23
grid,1,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,341782304,349943658,37878.2,2588944,349943659,7423390000.0,349943659,7046600000.0,564,3658530.0,0,0.0,8002914,343543330,161150000.0,14473600000.0,24
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5757810,8851730,648.017,2588944,8851731,168710000.0,5757810,100108000.0,0,0.0,0,0.0,0,2709678,0.0,268818000.0,25
grid,1,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,337816005,345758965,36495.4,2588944,345758966,7111650000.0,345758966,6654060000.0,563,3277060.0,0,0.0,7788245,339351842,149883000.0,13769000000.0,26
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5757810,8851730,648.658,2588944,8851731,167804000.0,5757810,99166000.0,0,0.0,0,0.0,0,2709678,0.0,266970000.0,27
grid,1,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,337124990,345099631,35965.9,2588944,345099632,6987810000.0,345099632,6444920000.0,529,2971850.0,0,0.0,7793099,338694739,145540000.0,13435700000.0,28
grid,1,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5757810,8851730,642.72,2588944,8851731,166588000.0,5757810,99947500.0,0,0.0,0,0.0,0,2709678,0.0,266535000.0,29
grid,1,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,335432548,342777698,35452.7,2588944,342777699,6862640000.0,342777699,6319490000.0,566,2764020.0,0,0.0,7148365,336368752,131788000.0,13184900000.0,30
